threshold,selected_pair_mae,selected_pair_mse,improvement_over_fixed_pair,switch_rate,selected_switch_win_rate,predicted_actual_improvement_correlation,beneficial_switch_auc
0.20795352011919022,0.35772213339805603,0.31769782304763794,-0.0059555768966674805,87.43882775306702,42.7238792181015,-0.2593090832233429,0.40284188034188034
0.22784282267093658,0.35733917355537415,0.3168683648109436,-0.005572617053985596,84.99184250831604,42.994242906570435,-0.2593090832233429,0.40284188034188034
0.24859720319509507,0.3564642667770386,0.3161669969558716,-0.004697710275650024,82.38173127174377,43.76237690448761,-0.2593090832233429,0.40284188034188034
0.2656461834907532,0.35589706897735596,0.3156414031982422,-0.004130512475967407,79.9347460269928,44.897958636283875,-0.2593090832233429,0.40284188034188034
0.27411668300628667,0.35586148500442505,0.3157171308994293,-0.004094928503036499,77.4877667427063,45.05263268947601,-0.2593090832233429,0.40284188034188034
0.29611361026763916,0.35601961612701416,0.31621429324150085,-0.00425305962562561,74.87764954566956,44.66230869293213,-0.2593090832233429,0.40284188034188034
0.3131687045097351,0.35621240735054016,0.3163084387779236,-0.004445850849151611,72.43067026138306,44.14414465427399,-0.2593090832233429,0.40284188034188034
0.3175723910331726,0.35662320256233215,0.3163836598396301,-0.0048566460609436035,69.98368501663208,42.89044141769409,-0.2593090832233429,0.40284188034188034
0.32282415926456454,0.356746643781662,0.3161572813987732,-0.0049800872802734375,67.53670573234558,41.787439584732056,-0.2593090832233429,0.40284188034188034
0.32744455337524414,0.35684120655059814,0.3161911964416504,-0.005074650049209595,64.92658853530884,40.954774618148804,-0.2593090832233429,0.40284188034188034
0.3346977084875107,0.35688602924346924,0.31632548570632935,-0.0051194727420806885,62.47960925102234,40.46997427940369,-0.2593090832233429,0.40284188034188034
0.3405716121196747,0.3571537435054779,0.31719425320625305,-0.0053871870040893555,60.03262400627136,39.402174949645996,-0.2593090832233429,0.40284188034188034
0.3435423880815506,0.35699260234832764,0.3172692656517029,-0.005226045846939087,57.4225127696991,39.48863744735718,-0.2593090832233429,0.40284188034188034
0.3468344688415527,0.3569154143333435,0.31744828820228577,-0.005148857831954956,54.97552752494812,39.76261019706726,-0.2593090832233429,0.40284188034188034
0.35091536641120913,0.35676145553588867,0.3179588317871094,-0.004994899034500122,52.52854824066162,40.993788838386536,-0.2593090832233429,0.40284188034188034
0.3548024296760559,0.35654616355895996,0.31793174147605896,-0.004779607057571411,49.91843402385712,41.17647111415863,-0.2593090832233429,0.40284188034188034
0.358556804060936,0.3562197685241699,0.31791529059410095,-0.004453212022781372,47.47145175933838,41.58075749874115,-0.2593090832233429,0.40284188034188034
0.361728584766388,0.3559268116950989,0.31776943802833557,-0.004160255193710327,45.02446949481964,42.75362193584442,-0.2593090832233429,0.40284188034188034
0.3648387283086777,0.3558168411254883,0.3178565204143524,-0.0040502846240997314,42.5774872303009,42.91187822818756,-0.2593090832233429,0.40284188034188034
0.3689307808876038,0.3555782437324524,0.31796661019325256,-0.0038116872310638428,39.9673730134964,42.85714328289032,-0.2593090832233429,0.40284188034188034
0.3764503002166748,0.35592085123062134,0.31897303462028503,-0.004154294729232788,37.52039074897766,40.869563817977905,-0.2593090832233429,0.40284188034188034
0.38448615670204167,0.35629186034202576,0.31968337297439575,-0.004525303840637207,35.07340848445892,38.604649901390076,-0.2593090832233429,0.40284188034188034
0.3903121531009674,0.3562736511230469,0.31968945264816284,-0.004507094621658325,32.46329426765442,38.693466782569885,-0.2593090832233429,0.40284188034188034
0.394296258687973,0.3562175929546356,0.31957709789276123,-0.00445103645324707,30.01631200313568,36.4130437374115,-0.2593090832233429,0.40284188034188034
0.39945028722286224,0.35578539967536926,0.31902459263801575,-0.004018843173980713,27.569329738616943,37.278106808662415,-0.2593090832233429,0.40284188034188034
0.40596044063568115,0.35593143105506897,0.31959086656570435,-0.00416487455368042,24.95921701192856,35.94771325588226,-0.2593090832233429,0.40284188034188034
0.41465321481227874,0.3561241030693054,0.3208235204219818,-0.00435754656791687,22.51223474740982,31.15941882133484,-0.2593090832233429,0.40284188034188034
0.4207579791545868,0.3555417060852051,0.3201385736465454,-0.0037751495838165283,20.065252482891083,32.52032399177551,-0.2593090832233429,0.40284188034188034
0.4236086070537567,0.3547297418117523,0.31966736912727356,-0.0029631853103637695,17.618270218372345,33.33333432674408,-0.2593090832233429,0.40284188034188034
0.4282333314418793,0.3539622724056244,0.31901901960372925,-0.00219571590423584,15.00815600156784,35.86956560611725,-0.2593090832233429,0.40284188034188034
0.4339151829481125,0.35354530811309814,0.3185631334781647,-0.0017787516117095947,12.561175227165222,35.0649356842041,-0.2593090832233429,0.40284188034188034
0.4371246576309204,0.35330721735954285,0.3182653486728668,-0.0015406608581542969,10.114192217588425,30.645161867141724,-0.2593090832233429,0.40284188034188034
0.4401080459356308,0.3531560003757477,0.3180897831916809,-0.0013894438743591309,7.50407800078392,28.260868787765503,-0.2593090832233429,0.40284188034188034
0.44293496608734134,0.35233238339424133,0.3166895806789398,-0.0005658268928527832,5.057096108794212,38.70967626571655,-0.2593090832233429,0.40284188034188034
0.45241208374500275,0.3512085974216461,0.3145177960395813,0.0005579590797424316,2.6101142168045044,68.75,-0.2593090832233429,0.40284188034188034
0.4625900387763977,0.35176658630371094,0.3155495226383209,-2.9802322387695312e-08,0.0,0.0,-0.2593090832233429,0.40284188034188034
