ci95_high,ci95_low,ci_excludes_zero,clip_frequency,comparison_anchor,dataset,diff_vs_anchor,diff_vs_existing_corrector_mae,diff_vs_fixed_core_mae,diff_vs_full_adaptive_mae,diff_vs_validation,expert_set,label,mae,mean_abs_applied_delta_norm,mean_abs_delta_norm,method,mse,num_residual_stat_updates,result_group,router_train_mae,router_train_mse,router_train_selection_rule,seed_mae_mean,seed_mae_std,seeds,selected_config,selection_protocol,source,source_file,split,status,test_mae,test_mse,validation_mae,validation_mse,variant
,,,,,ETTh2,,,,,,DLinear,,,,,Router-train selected variable core OOF,,,etth2_variable_core,,,,,,,,chronological OOF on ETTh2 router_train only; rounded value from project memory,experiments/etth2_train_selected_variable_core/final_report.json,,,router_train_oof,,,0.283464,0.182616,
,,,,Best fixed2 DLinear+ModernTCN,ETTh2,0.0024520635556241,,,,,DLinear+PatchTST+TimesNet+ModernTCN,,,,,Sequential COSTAR utility_pairwise_weighted,,,sequential_costar_validation,,,,5,0.277681100363638,,,0.00000000032344119164084995,full sequential utility-pairwise weighted; average queries 4.0,,,validation_only,,,0.277681100363638,0.1682309559651242,
,,,,Best fixed2 DLinear+ModernTCN,ETTh2,0.0017175853252411,,,,,DLinear+ModernTCN mostly,,,,,Pair selector aggregate,,,pair_selector_validation,,,,5,0.276946622133255,,,0.00343517065048218,5-seed pair selector; seed13 unstable; four seeds selected DLinear+ModernTCN,,,validation_only,,,0.276946622133255,0.167002373933792,
,,,,Best fixed2 DLinear+ModernTCN,ETTh2,0.0,,,,,DLinear+ModernTCN,,,,,Pair selector seed 7,,,pair_selector_validation,,,,1,,,,,pair selector selected DLinear+ModernTCN for all validation windows,,,validation_only,,,0.2752290368080139,0.1653451770544052,
,,,,Best fixed2 DLinear+ModernTCN,ETTh2,0.0,,,,,DLinear+ModernTCN,,,,,Pair selector seed 11,,,pair_selector_validation,,,,1,,,,,pair selector selected DLinear+ModernTCN for all validation windows,,,validation_only,,,0.2752290368080139,0.1653451770544052,
,,,,Best fixed2 DLinear+ModernTCN,ETTh2,0.008587926626205444,,,,,mixed pairs,,,,,Pair selector seed 13,,,pair_selector_validation,,,,1,,,,,unstable pair selector seed; mixed selected pairs and worse than fixed pair,,,validation_only,,,0.28381696343421936,0.17363116145133972,
,,,,Best fixed2 DLinear+ModernTCN,ETTh2,0.0,,,,,DLinear+ModernTCN,,,,,Pair selector seed 17,,,pair_selector_validation,,,,1,,,,,pair selector selected DLinear+ModernTCN for all validation windows,,,validation_only,,,0.2752290368080139,0.1653451770544052,
,,,,Best fixed2 DLinear+ModernTCN,ETTh2,0.0,,,,,DLinear+ModernTCN,,,,,Pair selector seed 19,,,pair_selector_validation,,,,1,,,,,pair selector selected DLinear+ModernTCN for all validation windows,,,validation_only,,,0.2752290368080139,0.1653451770544052,
,,,,Best fixed2 DLinear+ModernTCN,ETTh2,-0.013259,,,,,oracle pair,,,,,Per-window oracle pair,,,pair_potential_validation,,,,,,,,oracle diagnostic; not deployable,results/router_summary/costarts_fresh/ETTh2_96_12/pair_potential/pair_potential_report.md,,,diagnostic_or_router_train_fitted,,,0.261970,0.152997,
,,,,Best single DLinear,ETTh2,-0.017296,,,,,oracle expert,,,,,Per-window oracle expert,,,pair_potential_validation,,,,,,,,oracle diagnostic; not deployable,results/router_summary/costarts_fresh/ETTh2_96_12/pair_potential/pair_potential_report.md,,,diagnostic_or_router_train_fitted,,,0.263661,0.154336,
,,,,Best fixed2 DLinear+ModernTCN,ETTh2,-0.000474,,,,,all five experts,,,,,Nonnegative simplex linear average,,,pair_potential_validation,,,,,,,,router-train fitted diagnostic from pair potential report,results/router_summary/costarts_fresh/ETTh2_96_12/pair_potential/pair_potential_report.md,,,validation_only,,,0.274755,0.165479,
,,,,Best fixed2 DLinear+ModernTCN,ETTh2,0.001473,,,,,all five experts,,,,,Ridge linear stacker,,,pair_potential_validation,,,,,,,,router-train fitted diagnostic from pair potential report,results/router_summary/costarts_fresh/ETTh2_96_12/pair_potential/pair_potential_report.md,,,validation_only,,,0.276702,0.165339,
,,,,,ETTh2,,,,,,PatchTST+iTransformer+TimesNet,,,,,Equal fixed3 available baseline,,,limited_replication_validation,,,,,,,,normalized diagnostic scale; not canonical raw router-summary metric,experiments/multidataset_replication_costar/ETTh2_validation_results.csv,,,normalized_diagnostic,,,0.09833905845880508,0.038581494241952896,
-0.004820279777050018,-0.00512140616774559,True,,Equal fixed3 available baseline,ETTh2,-0.0049700126983225346,,,,,PatchTST+iTransformer+TimesNet+DLinear+ModernTCN,,,,,Locked ETTh1 expanded both limited,,,limited_replication_validation,,,,,,,,normalized diagnostic scale; locked ETTh1 specialist config,experiments/multidataset_replication_costar/ETTh2_validation_results.csv,,,normalized_diagnostic,,,0.09336903691291809,0.03417007252573967,
-0.004949454218149185,-0.005252609495073557,True,,Equal fixed3 available baseline,ETTh2,-0.00510005559772253,,,,,PatchTST+iTransformer+TimesNet+DLinear+ModernTCN,,,,,Selected predefined limited,,,limited_replication_validation,,,,,,,,normalized diagnostic scale; predefined limited specialist config,experiments/multidataset_replication_costar/ETTh2_validation_results.csv,,,normalized_diagnostic,,,0.09323900192975998,0.03415650501847267,
,,,,,ETTh2,,,,,,DLinear+PatchTST+ModernTCN,,,,,Full adaptive model,,,frozen_model_test_results,,,,,,,,ETTh2 frozen full adaptive model; DLinear/ModernTCN duplicate specialists disabled.,experiments/frozen_model_test_results/matched_etth1_etth2_results.csv,,,pre_test_frozen,0.29780814051628113,0.21861225366592407,0.27683213353157043,,
,,,,,ETTh2,,,,,,DLinear+PatchTST+ModernTCN,,,,,Expanded DLinear only,,,frozen_model_test_results,,,,,,,,"Not a distinct ETTh2 model: DLinear is already in the selected core, so the duplicate specialist is disabled.",experiments/frozen_model_test_results/matched_etth1_etth2_results.csv,,,pre_test_frozen,0.29780814051628113,0.21861225366592407,0.27683213353157043,,
