ablation_family,config,dataset,fold_mae,fold_mse,fold_rows,method
covariance_vs_diagonal_global_vs_hv,"{'structure': 'global', 'estimator': 'covariance', 'shrinkage': 0.75}",ETTh1,0.3479539155960083,0.2597070038318634,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3118409216403961, 'mse': 0.17778711020946503}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3391278088092804, 'mse': 0.24194148182868958}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.3991403877735138, 'mse': 0.3624992072582245}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34171220660209656, 'mse': 0.256602942943573}]",Bates-Granger
covariance_vs_diagonal_global_vs_hv,"{'structure': 'global', 'estimator': 'diagonal_inverse_error', 'shrinkage': 1.0}",ETTh1,0.3471517264842987,0.25915592908859253,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3089468479156494, 'mse': 0.17578741908073425}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3387954533100128, 'mse': 0.24186009168624878}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.39914220571517944, 'mse': 0.3624051511287689}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34172722697257996, 'mse': 0.25657349824905396}]",Bates-Granger
covariance_vs_diagonal_global_vs_hv,"{'structure': 'horizon_variable', 'estimator': 'diagonal_inverse_error', 'shrinkage': 1.0}",ETTh1,0.3451879620552063,0.25881126523017883,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.3056820034980774, 'mse': 0.17442002892494202}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3348488509654999, 'mse': 0.23898321390151978}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.39872676134109497, 'mse': 0.3640613853931427}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.341497540473938, 'mse': 0.25778135657310486}]",Bates-Granger
covariance_vs_diagonal_global_vs_hv,"{'structure': 'horizon_variable', 'estimator': 'covariance', 'shrinkage': 0.75}",ETTh1,0.3467543125152588,0.25974398851394653,"[{'fold': 0, 'train_lo': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.31104618310928345, 'mse': 0.17842739820480347}, {'fold': 1, 'train_lo': 0, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.33608555793762207, 'mse': 0.23952685296535492}, {'fold': 2, 'train_lo': 0, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.3985898196697235, 'mse': 0.36346104741096497}, {'fold': 3, 'train_lo': 0, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.3413005769252777, 'mse': 0.2575627267360687}]",Bates-Granger
static_vs_online,"{'eta': 0.01, 'decay': 0.97}",ETTh1,0.34732967615127563,0.263445109128952,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.2849138379096985, 'mse': 0.1647627055644989, 'num_updates': 1097, 'mean_weight_PatchTST': 0.5000271797180176, 'mean_weight_iTransformer': 0.4999728202819824}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3418820798397064, 'mse': 0.24838103353977203, 'num_updates': 1097, 'mean_weight_PatchTST': 0.5000135898590088, 'mean_weight_iTransformer': 0.499986469745636}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.4134654700756073, 'mse': 0.37828072905540466, 'num_updates': 1097, 'mean_weight_PatchTST': 0.4999927878379822, 'mean_weight_iTransformer': 0.5000072717666626}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34905579686164856, 'mse': 0.2623569667339325, 'num_updates': 1098, 'mean_weight_PatchTST': 0.5000017881393433, 'mean_weight_iTransformer': 0.49999818205833435}]",OneNet / adaptation
static_vs_online,"{'eta': 0.05, 'decay': 0.97}",ETTh1,0.3473294675350189,0.2634454667568207,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.2849126160144806, 'mse': 0.16476187109947205, 'num_updates': 1097, 'mean_weight_PatchTST': 0.5001359581947327, 'mean_weight_iTransformer': 0.4998640716075897}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.34188157320022583, 'mse': 0.24838078022003174, 'num_updates': 1097, 'mean_weight_PatchTST': 0.500067949295044, 'mean_weight_iTransformer': 0.49993202090263367}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.41346633434295654, 'mse': 0.37828290462493896, 'num_updates': 1097, 'mean_weight_PatchTST': 0.4999637305736542, 'mean_weight_iTransformer': 0.5000362396240234}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34905576705932617, 'mse': 0.26235726475715637, 'num_updates': 1098, 'mean_weight_PatchTST': 0.5000090003013611, 'mean_weight_iTransformer': 0.49999094009399414}]",OneNet / adaptation
static_vs_online,"{'eta': 0.1, 'decay': 0.97}",ETTh1,0.34732919931411743,0.2634458541870117,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.28491106629371643, 'mse': 0.16476082801818848, 'num_updates': 1097, 'mean_weight_PatchTST': 0.5002718567848206, 'mean_weight_iTransformer': 0.49972811341285706}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3418809175491333, 'mse': 0.24838048219680786, 'num_updates': 1097, 'mean_weight_PatchTST': 0.5001358985900879, 'mean_weight_iTransformer': 0.4998641014099121}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.4134674370288849, 'mse': 0.37828555703163147, 'num_updates': 1097, 'mean_weight_PatchTST': 0.49992746114730835, 'mean_weight_iTransformer': 0.5000725388526917}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.3490557372570038, 'mse': 0.2623576521873474, 'num_updates': 1098, 'mean_weight_PatchTST': 0.5000180602073669, 'mean_weight_iTransformer': 0.49998196959495544}]",OneNet / adaptation
static_vs_online,"{'eta': 0.2, 'decay': 0.97}",ETTh1,0.34732866287231445,0.26344671845436096,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.28490787744522095, 'mse': 0.16475874185562134, 'num_updates': 1097, 'mean_weight_PatchTST': 0.5005438327789307, 'mean_weight_iTransformer': 0.4994562566280365}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.34187963604927063, 'mse': 0.2483798712491989, 'num_updates': 1097, 'mean_weight_PatchTST': 0.5002717971801758, 'mean_weight_iTransformer': 0.4997282326221466}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.4134696424007416, 'mse': 0.37829089164733887, 'num_updates': 1097, 'mean_weight_PatchTST': 0.4998549222946167, 'mean_weight_iTransformer': 0.5001450777053833}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34905579686164856, 'mse': 0.2623583674430847, 'num_updates': 1098, 'mean_weight_PatchTST': 0.5000361204147339, 'mean_weight_iTransformer': 0.4999639391899109}]",OneNet / adaptation
static_vs_online,"{'eta': 0.5, 'decay': 0.97}",ETTh1,0.34732702374458313,0.2634493112564087,"[{'fold': 0, 'train_hi': 1109, 'eval_lo': 1109, 'eval_hi': 2218, 'mae': 0.2848984897136688, 'mse': 0.16475248336791992, 'num_updates': 1097, 'mean_weight_PatchTST': 0.5013594031333923, 'mean_weight_iTransformer': 0.4986405074596405}, {'fold': 1, 'train_hi': 2218, 'eval_lo': 2218, 'eval_hi': 3327, 'mae': 0.3418758809566498, 'mse': 0.24837811291217804, 'num_updates': 1097, 'mean_weight_PatchTST': 0.5006794929504395, 'mean_weight_iTransformer': 0.49932053685188293}, {'fold': 2, 'train_hi': 3327, 'eval_lo': 3327, 'eval_hi': 4436, 'mae': 0.4134763777256012, 'mse': 0.37830692529678345, 'num_updates': 1097, 'mean_weight_PatchTST': 0.4996374249458313, 'mean_weight_iTransformer': 0.5003626346588135}, {'fold': 3, 'train_hi': 4436, 'eval_lo': 4436, 'eval_hi': 5546, 'mae': 0.34905576705932617, 'mse': 0.26236066222190857, 'num_updates': 1098, 'mean_weight_PatchTST': 0.5000901818275452, 'mean_weight_iTransformer': 0.49990975856781006}]",OneNet / adaptation
global_vs_horizon_variable,"{'method': 'Granger-Ramanathan', 'structure': 'global', 'alpha': 0.0, 'variant': 'canonical_ols'}",ETTh2,0.2830832600593567,0.1825622171163559,"[{'fold': 0, 'train_lo': 0, 'train_hi': 411, 'eval_lo': 411, 'eval_hi': 821, 'mae': 0.2610967755317688, 'mse': 0.1478831022977829}, {'fold': 1, 'train_lo': 0, 'train_hi': 821, 'eval_lo': 821, 'eval_hi': 1232, 'mae': 0.3061692416667938, 'mse': 0.21105387806892395}, {'fold': 2, 'train_lo': 0, 'train_hi': 1232, 'eval_lo': 1232, 'eval_hi': 1642, 'mae': 0.29195553064346313, 'mse': 0.17667289078235626}, {'fold': 3, 'train_lo': 0, 'train_hi': 1642, 'eval_lo': 1642, 'eval_hi': 2053, 'mae': 0.2730794847011566, 'mse': 0.19454029202461243}]",Granger-Ramanathan
