state_index,expert,expert_index,predicted_score,true_negative_mae,true_mae
107,TimesNet,3,0.10592184960842133,-0.975497841835022,0.975497841835022
108,PatchTST,1,0.29257386922836304,-0.9128678441047668,0.9128678441047668
108,ModernTCN,4,-0.2002977430820465,-0.9333237409591675,0.9333237409591675
109,iTransformer,2,-0.4873151481151581,-0.9030627012252808,0.9030627012252808
109,TimesNet,3,0.12264873087406158,-0.975497841835022,0.975497841835022
110,iTransformer,2,-0.4401865601539612,-0.9030627012252808,0.9030627012252808
110,ModernTCN,4,-0.12585175037384033,-0.9333237409591675,0.9333237409591675
111,TimesNet,3,0.3027273416519165,-0.975497841835022,0.975497841835022
111,ModernTCN,4,-0.07833049446344376,-0.9333237409591675,0.9333237409591675
112,DLinear,0,1.5943059921264648,-0.9557799100875854,0.9557799100875854
112,PatchTST,1,0.3324751555919647,-0.9128678441047668,0.9128678441047668
112,iTransformer,2,-0.30452102422714233,-0.9030627012252808,0.9030627012252808
113,DLinear,0,1.2895588874816895,-0.9557799100875854,0.9557799100875854
113,PatchTST,1,0.34966540336608887,-0.9128678441047668,0.9128678441047668
113,TimesNet,3,0.3578498959541321,-0.975497841835022,0.975497841835022
114,DLinear,0,1.5323827266693115,-0.9557799100875854,0.9557799100875854
114,PatchTST,1,0.3448362946510315,-0.9128678441047668,0.9128678441047668
114,ModernTCN,4,0.03224710375070572,-0.9333237409591675,0.9333237409591675
115,DLinear,0,1.2658246755599976,-0.9557799100875854,0.9557799100875854
115,iTransformer,2,-0.32313400506973267,-0.9030627012252808,0.9030627012252808
115,TimesNet,3,0.3067207932472229,-0.975497841835022,0.975497841835022
116,DLinear,0,1.5929392576217651,-0.9557799100875854,0.9557799100875854
116,iTransformer,2,-0.29955175518989563,-0.9030627012252808,0.9030627012252808
116,ModernTCN,4,0.031517185270786285,-0.9333237409591675,0.9333237409591675
117,DLinear,0,1.3089869022369385,-0.9557799100875854,0.9557799100875854
117,TimesNet,3,0.5059465169906616,-0.975497841835022,0.975497841835022
117,ModernTCN,4,0.007079191505908966,-0.9333237409591675,0.9333237409591675
118,PatchTST,1,0.3003530204296112,-0.9128678441047668,0.9128678441047668
118,iTransformer,2,-0.4130491614341736,-0.9030627012252808,0.9030627012252808
118,TimesNet,3,0.20587103068828583,-0.975497841835022,0.975497841835022
119,PatchTST,1,0.3260120749473572,-0.9128678441047668,0.9128678441047668
119,iTransformer,2,-0.4432388246059418,-0.9030627012252808,0.9030627012252808
119,ModernTCN,4,-0.175620436668396,-0.9333237409591675,0.9333237409591675
120,PatchTST,1,0.2612628936767578,-0.9128678441047668,0.9128678441047668
120,TimesNet,3,0.3011571764945984,-0.975497841835022,0.975497841835022
120,ModernTCN,4,-0.1097375676035881,-0.9333237409591675,0.9333237409591675
121,iTransformer,2,-0.4173476994037628,-0.9030627012252808,0.9030627012252808
121,TimesNet,3,0.30288875102996826,-0.975497841835022,0.975497841835022
121,ModernTCN,4,-0.0979517474770546,-0.9333237409591675,0.9333237409591675
122,DLinear,0,1.4502553939819336,-0.9557799100875854,0.9557799100875854
122,PatchTST,1,0.3956729471683502,-0.9128678441047668,0.9128678441047668
122,iTransformer,2,-0.37014344334602356,-0.9030627012252808,0.9030627012252808
122,TimesNet,3,0.3436095118522644,-0.975497841835022,0.975497841835022
123,DLinear,0,1.6549196243286133,-0.9557799100875854,0.9557799100875854
123,PatchTST,1,0.3656299412250519,-0.9128678441047668,0.9128678441047668
123,iTransformer,2,-0.34937340021133423,-0.9030627012252808,0.9030627012252808
123,ModernTCN,4,0.00706569105386734,-0.9333237409591675,0.9333237409591675
124,DLinear,0,1.3604447841644287,-0.9557799100875854,0.9557799100875854
124,PatchTST,1,0.35275402665138245,-0.9128678441047668,0.9128678441047668
124,TimesNet,3,0.5073707699775696,-0.975497841835022,0.975497841835022
124,ModernTCN,4,0.04441753774881363,-0.9333237409591675,0.9333237409591675
125,DLinear,0,1.4349331855773926,-0.9557799100875854,0.9557799100875854
125,iTransformer,2,-0.37226754426956177,-0.9030627012252808,0.9030627012252808
125,TimesNet,3,0.4401734471321106,-0.975497841835022,0.975497841835022
125,ModernTCN,4,0.031006045639514923,-0.9333237409591675,0.9333237409591675
126,PatchTST,1,0.2864742875099182,-0.9128678441047668,0.9128678441047668
126,iTransformer,2,-0.40658116340637207,-0.9030627012252808,0.9030627012252808
126,TimesNet,3,0.3232806921005249,-0.975497841835022,0.975497841835022
126,ModernTCN,4,-0.07823798805475235,-0.9333237409591675,0.9333237409591675
127,DLinear,0,1.5268464088439941,-0.9557799100875854,0.9557799100875854
127,PatchTST,1,0.38374048471450806,-0.9128678441047668,0.9128678441047668
127,iTransformer,2,-0.4190096855163574,-0.9030627012252808,0.9030627012252808
127,TimesNet,3,0.44019365310668945,-0.975497841835022,0.975497841835022
127,ModernTCN,4,0.04842603951692581,-0.9333237409591675,0.9333237409591675
129,DLinear,0,1.2752079963684082,-1.045335292816162,1.045335292816162
130,PatchTST,1,0.1666528582572937,-0.98487788438797,0.98487788438797
131,iTransformer,2,-0.5728743076324463,-0.9944990277290344,0.9944990277290344
132,TimesNet,3,-0.02464856207370758,-1.1127798557281494,1.1127798557281494
133,ModernTCN,4,-0.026857808232307434,-1.0371898412704468,1.0371898412704468
134,DLinear,0,1.5633097887039185,-1.045335292816162,1.045335292816162
134,PatchTST,1,0.2852921187877655,-0.98487788438797,0.98487788438797
135,DLinear,0,1.486595630645752,-1.045335292816162,1.045335292816162
135,iTransformer,2,-0.23664847016334534,-0.9944990277290344,0.9944990277290344
136,DLinear,0,1.188816785812378,-1.045335292816162,1.045335292816162
136,TimesNet,3,0.2951217293739319,-1.1127798557281494,1.1127798557281494
137,DLinear,0,1.5888960361480713,-1.045335292816162,1.045335292816162
137,ModernTCN,4,0.04830966144800186,-1.0371898412704468,1.0371898412704468
138,PatchTST,1,0.24080422520637512,-0.98487788438797,0.98487788438797
138,iTransformer,2,-0.47466516494750977,-0.9944990277290344,0.9944990277290344
139,PatchTST,1,0.2317015528678894,-0.98487788438797,0.98487788438797
139,TimesNet,3,0.1060522049665451,-1.1127798557281494,1.1127798557281494
140,PatchTST,1,0.2959674298763275,-0.98487788438797,0.98487788438797
140,ModernTCN,4,-0.21106818318367004,-1.0371898412704468,1.0371898412704468
141,iTransformer,2,-0.4717065095901489,-0.9944990277290344,0.9944990277290344
141,TimesNet,3,0.1204223483800888,-1.1127798557281494,1.1127798557281494
142,iTransformer,2,-0.45341500639915466,-0.9944990277290344,0.9944990277290344
